电影名称,评分,评价人数,年份,地区,类型
肖申克的救赎,9.7,3089807人评价,1994,美国,犯罪 剧情
霸王别姬,9.6,2280550人评价,1993,中国大陆 中国香港,剧情 爱情 同性
阿甘正传,9.5,2299855人评价,1994,美国,剧情 爱情
泰坦尼克号,9.5,2340668人评价,1997,美国 墨西哥,剧情 爱情 灾难
千与千寻,9.4,2389014人评价,2001,日本,剧情 动画 奇幻
美丽人生,9.5,1405435人评价,1997,意大利,剧情 喜剧 爱情 战争
这个杀手不太冷,9.4,2437692人评价,1994,法国 美国,剧情 动作 犯罪
星际穿越,9.4,2012514人评价,2014,美国 英国 加拿大,剧情 科幻 冒险
盗梦空间,9.4,2199427人评价,2010,美国 英国,剧情 科幻 悬疑 冒险
楚门的世界,9.4,1870653人评价,1998,美国,剧情 科幻
辛德勒的名单,9.5,1188098人评价,1993,美国,剧情 历史 战争
忠犬八公的故事,9.4,1470723人评价,2009,美国 英国,剧情
海上钢琴师,9.3,1783802人评价,1998,意大利,剧情 音乐
三傻大闹宝莱坞,9.2,1968996人评价,2009,印度,剧情 喜剧 爱情 歌舞
放牛班的春天,9.3,1396638人评价,2004,法国 瑞士 德国,剧情 音乐
机器人总动员,9.3,1401826人评价,2008,美国,科幻 动画 冒险
疯狂动物城,9.2,2098407人评价,2016,美国,喜剧 动画 冒险
无间道,9.3,1469063人评价,2002,中国香港,剧情 犯罪 惊悚
控方证人,9.6,641192人评价,1957,美国,剧情 犯罪 悬疑 惊悚
大话西游之大圣娶亲,9.2,1622807人评价,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
熔炉,9.3,987747人评价,2011,韩国,剧情
教父,9.3,1038937人评价,1972,美国,剧情 犯罪
触不可及,9.3,1210333人评价,2011,法国,剧情 喜剧
寻梦环游记,9.1,1825258人评价,2017,美国,喜剧 动画 奇幻 音乐
当幸福来敲门,9.2,1607980人评价,2006,美国,剧情 传记 家庭
末代皇帝,9.3,961203人评价,1987,英国 意大利 中国大陆 法国,剧情 传记 历史
龙猫,9.2,1343118人评价,1988,日本,动画 奇幻 冒险
哈利·波特与魔法石,9.2,1316028人评价,2001,美国 英国,奇幻 冒险
怦然心动,9.1,1946840人评价,2010,美国,剧情 喜剧 爱情
活着,9.3,912833人评价,1994,中国大陆 中国香港,剧情 历史 家庭
蝙蝠侠：黑暗骑士,9.2,1132419人评价,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚
指环王3：王者无敌,9.3,858990人评价,2003,美国 新西兰,剧情 动作 奇幻 冒险
我不是药神,9.0,2234718人评价,2018,中国大陆,剧情 喜剧
乱世佳人,9.3,740862人评价,1939,美国,剧情 历史 爱情 战争
飞屋环游记,9.1,1414228人评价,2009,美国,剧情 喜剧 动画 冒险
素媛,9.3,734977人评价,2013,韩国,剧情
哈尔的移动城堡,9.1,1189679人评价,2004,日本,爱情 动画 奇幻 冒险
让子弹飞,9.0,1814543人评价,2010,中国大陆 中国香港,剧情 喜剧 动作 西部
十二怒汉,9.4,537855人评价,1957,美国,剧情
海蒂和爷爷,9.3,701535人评价,2015,德国 瑞士,剧情 冒险 家庭
何以为家,9.1,1111131人评价,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情
猫鼠游戏,9.1,1122522人评价,2002,美国 加拿大,传记 犯罪 剧情
天空之城,9.2,950219人评价,1986,日本,动画 奇幻 冒险
摔跤吧！爸爸,9.0,1659083人评价,2016,印度,剧情 传记 运动 家庭
鬼子来了,9.3,672372人评价,2000,中国大陆,剧情 喜剧
少年派的奇幻漂流,9.1,1423342人评价,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险
钢琴家,9.3,699054人评价,2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐
指环王2：双塔奇兵,9.2,807441人评价,2002,美国 新西兰,剧情 动作 奇幻 冒险
大话西游之月光宝盒,9.0,1292583人评价,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
死亡诗社,9.2,806731人评价,1989,美国,剧情
闻香识女人,9.1,960391人评价,1992,美国,剧情
绿皮书,8.9,1775292人评价,2018,美国 中国大陆,剧情 喜剧 传记 音乐
大闹天宫,9.4,475242人评价,1961(中国大陆),1964(中国大陆),1978(中国大陆)
罗马假日,9.1,1000756人评价,1953,美国,喜剧 剧情 爱情
黑客帝国,9.1,894120人评价,1999,美国,动作 科幻
指环王1：护戒使者,9.1,905992人评价,2001,新西兰 美国,剧情 动作 奇幻 冒险
教父2,9.3,597253人评价,1974,美国,剧情 犯罪
天堂电影院,9.2,712067人评价,1988,意大利 法国,剧情 爱情
狮子王,9.1,906288人评价,1994,美国,动画 冒险 歌舞
辩护人,9.2,628463人评价,2013,韩国,剧情
饮食男女,9.2,671646人评价,1994,中国台湾 美国,剧情 家庭
搏击俱乐部,9.0,910224人评价,1999,美国,剧情 动作 悬疑 惊悚
本杰明·巴顿奇事,9.0,1049266人评价,2008,美国,剧情 爱情 奇幻
美丽心灵,9.1,816925人评价,2001,美国,传记 剧情
穿条纹睡衣的男孩,9.2,608548人评价,2008,英国 美国,剧情 战争
窃听风暴,9.2,603075人评价,2006,德国,剧情 悬疑
情书,8.9,1208999人评价,1995,日本,剧情 爱情
两杆大烟枪,9.1,638555人评价,1998,英国,剧情 喜剧 犯罪
音乐之声,9.1,645627人评价,1965,美国,剧情 传记 爱情 歌舞
看不见的客人,8.8,1364701人评价,2016,西班牙,剧情 犯罪 悬疑 惊悚
西西里的美丽传说,8.9,1041276人评价,2000,意大利 美国,剧情 战争 情色
哈利·波特与死亡圣器(下),9.0,900462人评价,2011,美国 英国,奇幻 冒险
阿凡达,8.8,1500367人评价,2009,美国,动作 科幻 冒险
拯救大兵瑞恩,9.1,688511人评价,1998,美国,剧情 战争
功夫,8.9,1239668人评价,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻
哈利·波特与阿兹卡班的囚徒,9.0,822064人评价,2004,英国 美国,奇幻 冒险
小鞋子,9.2,439199人评价,1997,伊朗,剧情 儿童 家庭
飞越疯人院,9.1,578206人评价,1975,美国,剧情
沉默的羔羊,8.9,958797人评价,1991,美国,剧情 犯罪 惊悚
布达佩斯大饭店,8.9,1018692人评价,2014,美国 德国 英国,剧情 喜剧 冒险
蝴蝶效应,8.9,1006384人评价,2004,美国 加拿大,剧情 悬疑 科幻 惊悚
禁闭岛,8.9,1050943人评价,2010,美国,剧情 悬疑 惊悚
致命魔术,8.9,917631人评价,2006,英国 美国,剧情 悬疑 惊悚
心灵捕手,9.0,773387人评价,1997,美国,剧情
超脱,9.0,670398人评价,2011,美国,剧情
低俗小说,8.9,901779人评价,1994,美国,剧情 喜剧 犯罪
摩登时代,9.3,325584人评价,1936,美国,剧情 喜剧 爱情
喜剧之王,8.8,1032905人评价,1999,中国香港,喜剧 剧情 爱情
春光乍泄,9.0,674503人评价,1997,中国香港 日本 韩国,剧情 爱情 同性
海豚湾,9.3,371436人评价,2009,美国,纪录片
哈利·波特与密室,8.9,847929人评价,2002,英国 美国,奇幻 冒险
致命ID,8.9,891577人评价,2003,美国,剧情 悬疑 惊悚
杀人回忆,8.9,781170人评价,2003,韩国,剧情 动作 犯罪 悬疑 惊悚
美国往事,9.1,445127人评价,1984,美国 意大利,犯罪 剧情
一一,9.1,447741人评价,2000,中国台湾 日本,剧情 爱情 家庭
红辣椒,9.0,522678人评价,2006,日本,动画 悬疑 科幻 惊悚
加勒比海盗,8.8,917292人评价,2003,美国,动作 冒险 奇幻
七宗罪,8.8,1001532人评价,1995,美国,剧情 犯罪 悬疑 惊悚
唐伯虎点秋香,8.7,1156798人评价,1993,中国香港,喜剧 爱情 古装
狩猎,9.1,431238人评价,2012,丹麦 瑞典,剧情
